"UID","Value","English","Orphan"
2440,"POSITION","Position",No
2441,"BUTTONLIST","Button List",No
2442,"BLOKFIELDLIST","Blok Field List",No
2443,"SAMPLEEVENTCATEGORY","Sample Event Category English Caption",No
2512,"PROJECTPCT","Project %",No
2513,"TARGETBUDGET","Target Budget",No
2514,"TARGETENDDATE","Target End Date",No
2515,"HOURSPROJECTED","Hours Projected",No
2516,"HOURSWORKED","Hours Worked",No
2517,"HOURSSCHEDULED","Hours Scheduled",No
2518,"ACTUALENDDT","Actual End Date",No
2519,"URLSTAGE","Staging URL",No
2520,"PROJECTOWNERID","Project Owner",No
2521,"CREATEDDT","Created Date",No
2524,"SEARCHSCREENS","Search Screens",No
2525,"JBLOKS","JBloks",No
2526,"PROJECTCATEGORYRESULTS","Project Category Results",No
2527,"PROJECTCATEGORYS","Project Categories",No
2528,"PROGRESSPERCENTAGE","Progress %",No
2529,"TASKS","Tasks",No
2530,"TASKSEARCHRESULTS","Task Search Results",No
2531,"RESULTS","Results",No
2542,"CAPTIONSEARCH","Caption Search",No
2543,"CAPTIONFILTER","Caption Filter",No
2550,"DATA","Data",No
2593,"PROJECTLINKSEARCH","Project Link Search",No
2598,"PROJECTPRIORITIES","Project Priorities",No
2612,"PROJECTS","Projects",No
2615,"COMPANIES","Companies",No
2619,"COMPANYPEOPLE","Company People",No
2622,"COMPANYDEPARTMENTS","Company Departments",No
2623,"PEOPLE","People",No
2624,"PREFIX","Prefix",No
2625,"PRODUCTS","Products",No
2626,"NUMBER","Number",No
2627,"PRODUCTQUANTITIES","Product Quantities",No
2628,"LOCATION","Location",No
2629,"ONHAND","On Hand",No
2630,"ONORDER","On Order",No
2631,"ONBACKORDER","On Backorder",No
2632,"PRODUCTGROUPS","Product Groups",No
2633,"JBLOKBUTTONS","JBlok Buttons",No
2634,"BLOKID","Blok ID",No
2635,"BUTTONTYPE","Button Type",No
2636,"GRAPHICFILENAME","Graphic File Name",No
2639,"JBLOKBUTTON","JBlok Button",No
2640,"JBlokFields","JBlok Fields",No
2641,"JBLOKFIELD","JBlok Field",No
2642,"WIDGET","Widget",No
2643,"COLUMN","Column",No
2644,"JBLOKTYPES","JBlok Types",No
2645,"BLOKTYPE","Blok Type",No
2646,"JBLOKTYPE","JBlok Type",No
2648,"GROUPSEARCH","Group Search",No
2649,"MODULES","Modules",No
2650,"MODULE","Module",No
2651,"MODULECONFIGURATIONS","Module Configurations",No
2652,"MODULECONFIGURATION","Module Configuration",No
2653,"MODULESETTING","Module Setting",No
2654,"MODULESETTINGS","Module Settings",No
2655,"JNOTE","JNote",No
2656,"NOTE","Note",No
2657,"USERCONNECTION","User Connection",No
2660,"SESSIONS","Sessions",No
2668,"BUTTONTYPE","Button Type",No
2669,"BUTTONTYPES","Button Types",No
2671,"CASES","Cases",No
2672,"CASECATEGORY","Case Category",No
2673,"CASECATEGORIES","Case Categories",No
2674,"CASEPRIORITY","Case Priority",No
2675,"CASEPRIORITIES","Case Priorities",No
2676,"CASESOURCE","Case Source",No
2677,"CASESOURCES","Case Sources",No
2680,"SUBJECT","Subject",No
2681,"CASESUBJECTS","Case Subjects",No
2682,"CASETYPE","Case Type",No
2683,"CASETYPES","Case Types",No
2684,"CATALOG","Catalog",No
2685,"CATALOGS","Catalogs",No
2687,"COMPANY","Company",No
2688,"COMPANYDEPARTMENT","Company Department",No
2689,"COMPANYPERSON","Company Person",No
2690,"CAPTIONTYPE","Caption Type",No
2691,"CAPTIONTYPES","Caption Types",No
2692,"CUSTOMERS","Customers",No
2693,"CUSTOMER","Customer",No
2694,"DATACONNECTIONINFO","Data Connection Info",No
2695,"DATACONNECTIONSEARCH","Data Connection Search",No
2696,"CUSTOMERCATEGORY","Customer Category",No
2697,"DEBUGENTRY","Debug Entry",No
2698,"DEBUGENTRIES","Debug Entries",No
2705,"PAYRATESEARCH","Recently Used Payrates Search",No
2706,"PAYRATEPERHOUR","Payrate Per Hour",No
2707,"RECENTREFERENCESEARCH","Reference Search",No
2708,"RECENTCLIENTSEARCH","Recent Client Search",No
2709,"MENUPARENTID","Menu Parent ID",No
2710,"DISPLAYIFNOACCESS","Display if No Access",No
2711,"VALIDSESSIONONLY","Valid Session Only",No
2712,"DISPLAYIFVALIDSESSION","Display if Valid Session",No
2713,"DISPLAYNEWWINDOW","Display in New Window",No
2714,"SMALLICON","Small Icon",No
2715,"LARGEICON","Large Icon",No
2716,"ALTTEXTFORICON","Alternate Text for Icon",No
2717,"MENUITEM","Menu Item",No
2718,"MENUITEMS","Menu Items",No
2719,"RECENTBILLTOSEARCH","Recent Bill-To Search",No
2720,"SEQUENCE","Sequence",No
2721,"RECENTRESOURCESEARCH","Recent Resource Search",No
2722,"RECENTBILLTOID","Recent Bill-To ID",No
2723,"RECENTCLIENTID","Recent Client ID",No
2724,"TIMECARDENTRIES","Timecard Entries",No
3467,"CLIENTENTITYID","Client Entity ID",No
3468,"BILLTOID","Bill-to ID",No
3469,"IMPORTEDDATE","Imported Date",No
3470,"IMPORTEDBY","Imported By",No
3471,"RESOURCETYPE","Resource Type",No
3472,"PAYRATE","Payrate",No
3473,"BILLABLE","Billable",No
3474,"RESOURCEID","Resource ID",No
3475,"DATEUPLOADED","Date Uploaded",No
3476,"UPLOADEDBY","Uploaded By",No
3477,"MANUALENTRY","Manual Entry",No
3478,"MANUALENTRYDATE","Manual Entry Date",No
3479,"REFERENCE","Reference",No
3480,"TIMEIN","Time In",No
3481,"TIMEOUT","Time Out",No
3482,"TASK","Task",No
3483,"INTERNALNOTES","Internal Notes",No
3484,"PUBLICNOTES","Public Notes",No
3485,"TIMECARDENTRY","Time Card Entry",No
3626,"LEADSOURCETYPE","Lead Type",No
3627,"LEADSOURCECOMPANY","Lead Source Company",No
3628,"LEADSOURCEPERSON","Lead Source Person",No
3629,"RESPONSIBLETEAM","Responsible Team",No
3630,"RESPONSIBLEPERSON","Responsible Person",No
3631,"LEADSOURCETEAM","Lead Source Team",No
3632,"INDUSTRYTYPE","Industry Type",No
3633,"ACCOUNTOWNER","Account Owner",No
3638,"USERS","Users",No
3639,"USER","User",No
3640,"USERPREFERENCES","User Preferences",No
3641,"USERPREFERENCE","User Preference",No
3642,"PRINTER","Printer",No
3643,"PRINTERS","Printers",No
3648,"PERMISSIONS","Permissions",No
3649,"SECURITYPERMISSION","Security Permission",No
3712,"SERVERINBOUNDMESSAGES","Server Inbound Messages",No
3713,"SERVERINBOUNDMESSAGE","Server Inbound Message",No
3766,"PUBLIC","Public",No
3767,"SECONDARYEMAIL","Secondary Email",No
3768,"MEMBERSEARCH","Member Search",No
3769,"SECONDARYPHONE","Secondary Phone",No
3874,"PARENTTEAM","Parent Team",No
3947,"EMAIL","Email",No
3948,"PHONE","Phone",No
3949,"WORKEMAIL","Work Email",No
3950,"HOMEEMAIL","Home Email",No
3951,"HOMEPHONE","Home Phone",No
3952,"WORKPHONE","Work Phone",No
3953,"MOBILEPHONE","Mobile Phone",No
3954,"MAINADDRESS1","Main Address1",No
3955,"MAINADDRESS2","Main Address2",No
3956,"MAINADDRESS3","Main Address3",No
3957,"SHIPPINGADDRESS1","Shipping Address1",No
