"UID","Value","English","Orphan"
1506091536571370022,"SHARESDEFAULTDOMAIN","Shares Default Domain",No
1506091538478990023,"CACHEMAXIMUMAGEINSECONDS","Cache Max Age in Seconds",No
1506091539569790024,"DEFAULTICONTHEME","Default Icon Theme",No
1506091541063350025,"WEBROOTDIR","Web Root Directory",No
1506091541594480026,"TEMPLATEDIRECTORY","Template Directory",No
1506091544009880027,"MENURENDERMETHOD","Menu Render Method",No
1506091545574540028,"DEFAULTTOPMENUID","Default Top Menu ID",No
1506091546342090029,"ACCESSLOG","Access Log",No
1506091621223620000,"ADMINISTRATOR","Administrator",No
1506091622578240001,"RESETPASSWORD","Reset Password",No
1506091624589990002,"WHEN","When",No
1506091626061390003,"CREATE","Create",No
1506091627250320004,"MODIFY","Modify",No
1506091632560230005,"OUT","Out",No
1506091633117120006,"IN","In",No
1506091839532340000,"INVOICEPAID","Invoice Paid",No
1506091910088530002,"ESTIMATEDDURATIONINMINUTES","Estimated Duration",No
1506091925039710003,"VIEWMSSQL","View MS-SQL",No
1506091926065400004,"OWNERONLY","Owner Only",No
1506091927322720005,"VIEWMSACCESS","View MS-Access",No
1506091929326760006,"VIEWMYSQL","View MySQL",No
1506091937200050007,"CONFIRMED","Confirmed",No
1506091938140080008,"EXTERNALENTITYTYPE","External Entity Type",No
1506091939356490009,"CONFLICTPENDING","Conflict Pending",No
1506091940557350010,"EXTERNALENTITYROWID","External Entity Row ID",No
1506091942128400011,"EXTERNALMODIFIEDBY","External Modified By",No
1506091943076540012,"CONFIRMATINPENDING","Confirmation Pending",No
1506091945023540013,"EXTERNALENTITYCREATEDBY","External Entity Created By",No
1506091946057320014,"SYNCRONIZED","Syncronized",No
1506092123146390016,"ENTRYDATA","Entry Data",No
1506092144305240017,"SEARCHANDREPLACE","Search and Replace",No
1506092206017960018,"COST","Cost",No
1506092305419560019,"QUANTITYONHAND","Qty On Hand",No
1506092309236760020,"QUANTITYONBACKORDER","Qty on Back Order",No
1506111027492470001,"RECIPIENT","Recipient",No
1506111606538280011,"TO","To",No
1506130948435880011,"HELPENTRYDATA","Help Entry Data",No
1506131027094500059,"HELPSEARCH","Help Search",No
1506131034335520060,"ADMINHELPENGLISH","English help for Administrators",No
1506131208276320001,"ADVANCEDHELP","Advanced Help",No
1506222016226060013,"LOOKUPCOLUMN","Look-Up Column",No
1506250114186370017,"SYSTEMOPTIONS","System Options",No
1507111158174910072,"SOCSEC","Social Security #",No
1507111718572720008,"STUPID JERK I LOVE YOU","DUM HOST cint spill ne thin",No
1507120522165300000,"UPDATEPERMISSION","Update Permission",
1507120523564080001,"VIEWPERMISSION","View Permission",
1507120739540920001,"SETTINGHELP","Setting Help",
2012040223050395617,"MULTISELECT","Multi-Select",No
2012040418530761532,"SYSTEMPERMISSIONS","System Permissions",No
2012040418540546622,"SYSTEMPERMISSION","System Permission",No
2012040623455235748,"SAVEDFILTER","Saved Filter",No
2012040623494443502,"FILTERDEFAULTS","Filter Defaults",No
2012040623495925608,"FILTERDEFAULT","Filter Default",No
2012040715322896848,"DBMSDRIVER","DBMS",No
2012040717150310253,"COLUMNMISSING","Column Missing",No
2012040717343336567,"SALUTATION","Salutation",No
2012040912012039914,"PEOPLEINSYSTEMALREADY","People In System Already",No
2012040912014205000,"COMPANIESINSYSTEMALREADY","Companies in System Already",No
2012040912423092405,"DEDUPLICATIONWEIGHT","Deduplication Weight",No
2012040914392147199,"PROMOTE","Promote",No
2012040917160953899,"DUPLICATESCORE","Duplicate Score",No
2012041009211480455,"LOOKUPSQL","Lookup SQL",No
2012041101215312273,"ONBLUREVENT","onblur Event",No
2012041101230917599,"ONCHANGEEVENT","onchange Event",No
2012041101232662453,"ONCLICKEVENT","onclick Event",No
2012041101234920600,"ONDBLCLICKEVENT","ondblclick Event",No
2012041101240896266,"ONFOCUSEVENT","onfocus Event",No
2012041101242628277,"ONKEYDOWNEVENT","onkeydown Event",No
2012041101250168309,"ONKEYPRESSEVENT","onkeypress Event",No
2012041101255104618,"ONKEYUPEVENT","onkeyup Event",No
2012041101260620162,"ONSELECTEVENT","onselect Event",No
2012041101410589637,"RESOLUTION","Resolution",No
2012041115533742917,"LEADSOURCEADDITIONAL","Lead Source Addl.",No
2012041420513148043,"MAINCOUNTRY","Main Country",No
2012041420520368340,"SHIPCOUNTRY","Shipping Country",No
2012041609351378566,"ROWID","Row ID",No
2012041621002504430,"MOVE","Move",No
2012042817554989392,"EMERGENCY","Emergency",No
2012042817564326371,"HIGHEST","Highest",No
2012042817572018135,"HIGH","High",No
2012042817580728385,"NORMAL","Normal",No
2012042817584882364,"LOW","Low",No
2012042909292957277,"PATH","Path",No
2012042917595448155,"FILESIZE","Filesize",No
2012043012194966538,"RECORDOWNERACCESSONLY","Record Owner Access Only",No
2012043012201812089,"PERMISSIONCOLUMN","Permission Column",No
2012043016272178970,"LOGENTRYTYPE","Log Entry Type",No
2012043016391642734,"SECURITYKEY","Security Key",No
2012043016392928232,"SECURITYKEYS","Security Keys",No
2012043016405555299,"FILES","Files",No
2012043016410303310,"FILE","File",No
2012043016420292223,"SAVEDFILTERS","Saved Filters",No
2012043016433875339,"LOOKUPRECORDS","Lookup Records",No
2012043016435202923,"LOOKUPRECORD","Lookup Record",No
2012043016484242927,"PRIORITIES","Priorities",No
2012043016495953224,"PRODUCTQUANTITY","Product Quantity",No
2012043016512719093,"CAPTIONS","Captions",No
2012043016522051943,"CAPTIONGROUPS","Caption Groups",No
2012043016524008319,"CAPTIONGROUP","Caption Group",No
2012043016582240858,"MODULECOLUMNS","Module Columns",No
2012043016583297014,"MODULECOLUMN","Module Column",No
2012043017061939349,"PRODUCTGROUP","Product Group",No
2012043017144795186,"PROJECTCATEGORY","Project Category",No
2012043017181810884,"SECURITYGROUP","Security Group",No
2012043017192919172,"SECURITYGROUPUSERLINK","Security Group User Link",No
2012043017200796312,"SECURITYGROUPLINK","Security Group Link",No
2012043017234780542,"SYSTEMMODULELINK","System Module Link",No
2012043017243432206,"SYSTEMMODULE","System Module",No
2012043017262568150,"SECURITYPERMISSIONUSERLINK","Security Permission User Link",No
2012050100261358367,"LOGENTRIES","Log Entries",No
2012050103333895422,"EDITPERMISSION","Edit Permission",No
2012050103335179648,"VIEWPERMISSION","View Permission",No
2012050103341662144,"EXPORTPERMISSION","Export Permission",No
2012050103521566243,"MODIFYPERMISSION","Modify Permission",No
2012050915331229678,"ACTIONS","Actions",No
2012051214565580459,"SAVEANDNEW","Save-N-New",No
2012081821495847904,"DOB","Date of Birth",No
2012081906251782405,"DATEBEGIN","Date Begin",No
2012081906253379590,"DATEEND","Date End",No
2012090315231108490,"PERSPECTIVE","Perspective",No
2012090316440227924,"EVENTID","Event ID",No
2012090316500784787,"EVENT SEARCH","Event Search",No
2012090316501970246,"VIDEO SEARCH","Video Search",No
2012090316513162044,"EVENT","Event",No
2012090316514118790,"VIDEO","Video",No
2012090319212952756,"TIME","Time",No
2012090610565676480,"ROTATION","Rotation",No
2012090611375011541,"VIDEOTYPE","Video Type",No
2012090616372660846,"PROCESS","Process",No
2012090616374531336,"PROCESSING","Processing",No
2012091017054578271,"CREATEVIDEO","Create Video",No
2012091214212259347,"TIMEELAPSED","Time Elapsed",No
2012091920505541970,"MUTE","Mute",No
2012091922045087641,"UPLOADEDAS","Uploaded As",No
2012091922131584318,"VIDEOS","Videos",No
2012092018530337729,"NOCREATED","# Created",No
2012092018532621819,"FAILEDATTEMPTS","Failed Attempts",No
2012092222092643496,"VISIBLE","Visible",No
2012092319003372407,"AUTOSYNCHRONIZE","Auto Synchronize",No
2012092321080970745,"SYNCHRONIZE","Synchronize",No
2012092710321502379,"SHARE","Share",No
2012092817421887580,"MINI TEMPLATE","Mini Template",No
2012100503454318379,"CANCELLED","Cancelled",No
2012100503460711363,"RESCHEDULED","Rescheduled",No
2012100504363933219,"TERMS","Terms",No
